"Sl No","Number of Vote","Date of Votes","Title in English","Title in French","Result","Def. Result","keyword1","keyword2","keyword3","type","Institutions","Theme codes","Turnout","Valid Ballot Sheets","Yes [%]","No [%]","Number of Yes-Votes in National Council","Number of No-Votes in National Council","Number of Abstentions in National Council","Number of Yes-Votes in States Council","Number of No-Votes in States Council","Number of Abstentions in States Council","Recommendation of Government","Total Electorate","Number Of Voters","Yes Votes","No Votes","Number of States accepting","Number of States rejecting","Linked Vote Status","Linked Vote","Without Response","Tie-Break Question: Number of People Supporting","Tie-Break Question: Number of State Supporting","Tie-Break Question: Without Response"
329,288,1978-09-24,"Federal decree on creation of the canton Jura (articles 1 and 80 of the Federal Constitution)","Arrêté fédéral du 09.03.1978 sur la création du canton du Jura","yes",NA,"Territoral questions","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Territoral questions | none | none","42.04",1591714,82.29,"17.71","135","8",NA,"37","0",NA,"None",3848961,1618463,1309841,281873,"22",NA,"none",NA,NA,0,NA,0
330,283,1978-05-28,"Law on summer time","Loi fédérale du 24.06.1977 réglementant l'heure en Suisse","no",NA,"Transport and infrastructure","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Transport and infrastructure | none | none","49",1850238,47.91,"52.09","116","32",NA,"34","1",NA,"None",3835650,1879954,886376,963862,NA,NA,"none",NA,NA,0,NA,0
331,284,1978-05-28,"Law on customs duties  amendment of 7 October 1977","Loi sur le tarif des douanes  Modification du 07.10.1977","yes",NA,"Crop production","Budget cuts and remediation measures","National economic supply","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Crop production | Budget cuts and remediation measures | National economic supply","48.7",1773075,54.81,"45.19","98","55",NA,"30","5",NA,"None",3835650,1867991,971908,801167,NA,NA,"none",NA,NA,0,NA,0
332,285,1978-05-28,"Federal law on protection of pregnancy and abortion as a punishable offence","Loi fédérale du 24.06.1977 sur la protection de la grossesse et le caractère punissable de son interruption","no",NA,"Status of women","Criminal law","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Status of women | Criminal law | none","48.86",1792252,31.2,"68.8","101","41",NA,"19","13",NA,"None",3835650,1874512,559103,1233149,NA,NA,"none",NA,NA,0,NA,0
333,286,1978-05-28,"Federal law on funding for higher education and research","Loi fédérale du 07.10.1977 sur l'aide aux hautes écoles et la recherche (LHR)","no",NA,"Universities","Research","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Universities | Research | none","48.9",1829478,43.32,"56.68","122","11",NA,"32","0",NA,"None",3835650,1875881,792458,1037020,NA,NA,"none",NA,NA,0,NA,0
334,287,1978-05-28,"Citizen's initiative 'Twelve Sundays a year without motor traffic'","Initiative populaire 'pour douze dimanches par année sans véhicules à moteur ni avions'","no",NA,"Road transport","Environmental policy","none","initiative","Initiative (Formulated Draft)","Road transport | Environmental policy | none","49.13",1869366,36.28,"63.72","14","121",NA,"1","30",NA,"None",3835650,1884357,678162,1191204,NA,"22","none",NA,NA,NA,NA,NA
335,279,1978-02-26,"Citizen's initiative ""Enhancing parliamentary and popular participation in decision-making on matters of highway construction""","Initiative populaire 'Démocratie dans la construction des routes nationales'","no",NA,"Road construction","Protection of nature and cultural heritage","Referendum","initiative","Initiative (Formulated Draft)","Road construction | Protection of nature and cultural heritage | Referendum","48.54",1800793,38.68,"61.32","0","146",NA,"0","37",NA,"None",3821750,1842057,696501,1104292,NA,"22","none",NA,NA,0,NA,0
336,280,1978-02-26,"Federal law on old age-  widows- and orphans insurance  amendment of 24 June 1977 (9th revision)","Loi fédérale sur l'assurance-vieillesse et survivants  Modification du 24.06.1977 (9e revision de l'AVS)","yes",NA,"Pension insurance","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Pension insurance | none | none","48.31",1817710,65.58,"34.42","124","9",NA,"34","1",NA,"None",3821750,1846139,1192144,625566,NA,NA,"none",NA,NA,0,NA,0
337,281,1978-02-26,"Citizen's initiative ""On lowering retirement age""","Initiative populaire 'visant à abaisser l'âge donnant droit aux prestations de l'AVS'","no",NA,"Pension insurance","none","none","initiative","Initiative (Formulated Draft)","Pension insurance | none | none","48.33",1828237,20.62,"79.38","1","139",NA,"0","34",NA,"None",3821750,1847239,377017,1451220,NA,"22","none",NA,NA,0,NA,0
338,282,1978-02-26,"Federal decree on article in the Federal Constitution on economic policy","Arrêté fédéral du 07.10.1977 concernant l'article conjoncturel de la constitution","yes",NA,"Short-term economic policy","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Short-term economic policy | none | none","48",1714764,68.36,"31.64","144","5",NA,"32","1",NA,"None",3821750,1834367,1172130,542634,"22",NA,"none",NA,NA,0,NA,0
339,275,1977-12-04,"Citizen's initiative ""Higher taxes on big incomes""","Initiative populaire 'en vue de l'harmonisation fiscale  d'une imposition plus forte de la richesse et du dégrèvement des bas revenus (Initiative pour l'impôt sur la richesse)'","no",NA,"Direct taxation","none","none","initiative","Initiative (Formulated Draft)","Direct taxation | none | none","38.29",1438132,44.36,"55.64","49","93",NA,"3","31",NA,"None",3816824,1461486,637994,800138,"2.5","19.5","none",NA,NA,0,NA,0
340,276,1977-12-04,"Federal law on political rights","Loi fédérale du 17.12.1976 sur les droits politiques","yes",NA,"Citizen's initiatives","Procedure for constitutional reform","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Citizen's initiatives | Procedure for constitutional reform | none","38.11",1362824,59.43,"40.57","116","0",NA,"35","0",NA,"None",3816824,1454520,809862,552962,NA,NA,"none",NA,NA,0,NA,0
341,277,1977-12-04,"Federal decree on introduction of civilian service as an alternative to military service","Arrêté fédéral du 05.05.1977 sur l'introduction d'un service civil de remplacement","no",NA,"Conscientious objection, Civilian service","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Conscientious objection, Civilian service | none | none","38.27",1419601,37.6,"62.4","78","51",NA,"27","1",NA,"None",3816824,1461173,533733,885868,NA,"22","none",NA,NA,0,NA,0
342,278,1977-12-04,"Federal law on measures to balance the national budget","Loi fédérale du 05.05.1977 instituant des mesures propres à équilibrer les finances fédérales","yes",NA,"Budget cuts and remediation measures","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Budget cuts and remediation measures | none | none","38.15",1392391,62.43,"37.57","109","19",NA,"31","0",NA,"None",3816824,1456666,869266,523125,NA,NA,"none",NA,NA,0,NA,0
343,270,1977-09-25,"Citizen's initiative ""For effective protection of tenants""","Arrêté fédéral du 25.03.1977 concernant l'initiative populaire 'pour une protection efficace des locataires'","no",NA,"Tenancy issues","none","none","initiative","Initiative (Formulated Draft)","Tenancy issues | none | none","51.59",1886434,43.29,"56.71","28","114",NA,"3","34",NA,"None",3811426,1966181,796825,1043798,"3.5","18.5","linked","Counter proposal to the citizen's initiative ""For effective protection of tenants""",45811,0,NA,0
344,271,1977-09-25,"Citizen's initiative ""Against air pollution from motor vehicles (Albatross initiative)""","Initiative populaire 'contre la pollution atmosphérique causée par les véhicules à moteur'","no",NA,"Air quality control","Road transport","none","initiative","Initiative (Formulated Draft)","Air quality control | Road transport | none","51.36",1898210,39.03,"60.97","12","110",NA,"0","34",NA,"None",3811426,1969501,740842,1157368,"1.5","20.5","none",NA,NA,0,NA,0
345,272,1977-09-25,"Federal decree on raising the number of signatures required for referendums (articles 89 and 89 of the Federal Constitution)","Arrêté fédéral du 25 mars 1977 relevant le nombre de signatures requis pour le référendum (Art. 89 et 89bis cst.)","yes",NA,"Referendum","Legislative procedure","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Referendum | Legislative procedure | none","51.61",1894047,57.85,"42.15","95","55",NA,"34","1",NA,"None",3811426,1967555,1095631,798416,"18","4","none",NA,NA,0,NA,0
346,273,1977-09-25,"Federal decree on raising the number of signatures required for a constitutional initiative (articles 120 and 121 of the Federal Constitution)","Arrêté fédéral du 25.03.1977 relevant le nombre de signatures requis pour l'initiative constitutionnelle (Art. 120 et 121 cst.)","yes",NA,"Citizen's initiatives","Procedure for constitutional reform","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Citizen's initiatives | Procedure for constitutional reform | none","52",1883645,56.71,"43.29","99","50",NA,"33","1",NA,"None",3811426,1968023,1068157,815488,"19","3","none",NA,NA,0,NA,0
347,274,1977-09-25,"Citizen's initiative ""Decriminalising abortion""","Initiative populaire 'pour la solution du délai'","no",NA,"Status of women","Criminal law","none","initiative","Initiative (Formulated Draft)","Status of women | Criminal law | none","51.93",1924255,48.3,"51.7",NA,NA,NA,NA,NA,NA,"None",3811426,1979163,929325,994930,"7","15","none",NA,NA,0,NA,0
348,270,1977-09-25,"Counter proposal to the citizen's initiative ""For effective protection of tenants""","Contre-projet à l'initiative populaire 'Protection efficace des locataires' [Insertion d'un art. 31sexies]","no",NA,"Tenancy issues","none","none","mandatory Referendum","Constitutional Referendum (Counter-draft)","Tenancy issues | none | none","51.59",1886434,45.15,"54.85","114","28",NA,"34","3",NA,"None",3811426,1966181,777604,944806,"2","20","linked","Citizen's initiative ""For effective protection of tenants""",164024,0,NA,0
349,268,1977-06-12,"Federal decree on revision of VAT and direct federal taxation","Arrêté fédéral du 17.12.1976 réformant le régime de l'impôt sur le chiffre d'affaires et de l'impôt fédéral direct","no",NA,"Tax system","Financial system","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Tax system | Financial system | none","50.02",1877874,40.52,"59.48","116","20",NA,"28","1",NA,"None",3795796,1898268,760830,1117044,"1","21","none",NA,NA,0,NA,0
350,269,1977-06-12,"Federal decree on tax harmonisation","Arrêté fédéral du 17.12.1976 concernant l'harmonisation fiscale","yes",NA,"Tax system","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Tax system | none | none","49.91",1848724,61.32,"38.68","143","1",NA,"22","3",NA,"None",3795796,1894655,1133652,715072,"17.5","4.5","none",NA,NA,0,NA,0
351,265,1977-03-13,"Citizen's initiative ""Reduction of number of foreigners (No. 4)""","Initiative populaire du Parti républicain 'pour la protection de la Suisse' (4e initiative contre l'emprise étrangère)","no",NA,"Immigration policy","none","none","initiative","Initiative (Formulated Draft)","Immigration policy | none | none","45.2",1678724,29.54,"70.46","4","148",NA,"0","33",NA,"None",3785693,1711055,495904,1182820,NA,"22","none",NA,NA,0,NA,0
352,266,1977-03-13,"Citizen's initiative ""Restriction of naturalisation of foreigners""","Initiative populaire 'pour une limitation du nombre annuel des naturalisations' (5e initiative contre l'emprise étrangère)","no",NA,"Immigration policy","Citizenship","none","initiative","Initiative (Formulated Draft)","Immigration policy | Citizenship | none","45.22",1685055,33.76,"66.24","4","148",NA,"0","32",NA,"None",3785693,1711973,568867,1116188,NA,"22","none",NA,NA,0,NA,0
353,267,1977-03-13,"Citizen's initiative ""Reorganisation of referendum on international treaties""","Arrêté fédéral du 17.12.1976 instituant de nouvelles de nouvelles dispositions sur le référendum en matière de traités internationaux:; Initiative populaire 'contre la limitation du droit de vote lors de la conclusion de traités avec l'étranger'","no",NA,"Referendum","Position on foreign policy","none","initiative","Initiative (Formulated Draft)","Referendum | Position on foreign policy | none","44.95",1604447,23.26,"76.74","9","121",NA,"0","35",NA,"None",3785693,1701901,351127,1158376,NA,"22","linked","Counter proposal to the citizen's initiative ""Reorganisation of referendum on international treaties""",94944,0,NA,0
354,267,1977-03-13,"Counter proposal to the citizen's initiative ""Reorganisation of referendum on international treaties""","Contre-projet à l'initiative populaire Référendum en matière de Traitées internationaux [Modification de l'art. 89 de la constitution]","yes","yes","Referendum","Bilateral treaties","Immigration policy","mandatory Referendum","Constitutional Referendum (Counter-draft)","Referendum | Bilateral treaties | Immigration policy","44.95",1604447,66.07,"33.93","121","9",NA,"35","0",NA,"None",3785693,1701901,978999,502825,"20.5","1.5","linked","Citizen's initiative ""Reorganisation of referendum on international treaties""",122623,0,NA,0
355,262,1976-12-05,"Federal decree on monetary and credit policy","Arrêté fédéral du 19.12.1975 sur la politique du marché de l'argent et du crédit","yes",NA,"Monetary policy","Banks, stock exchange, insurance","none","mandatory Referendum","Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis)","Monetary policy | Banks, stock exchange, insurance | none","44.83",1575666,70.35,"29.65","140","8",NA,"36","0",NA,"None",3772466,1691511,1108413,467253,"22",NA,"none",NA,NA,0,NA,0
356,263,1976-12-05,"Federal decree on price monitoring","Arrêté fédéral du 19.12.1975 sur la surveillance des prix","yes",NA,"Pricing policy","Consumer protection","none","mandatory Referendum","Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis)","Pricing policy | Consumer protection | none","45.04",1665155,82.02,"17.98","137","14",NA,"34","0",NA,"None",3772466,1699618,1365788,299367,"22",NA,"none",NA,NA,0,NA,0
357,264,1976-12-05,"Citizen's initiative ""Reduction of the working week to forty hours""","Initiative populaire 'pour l'introduction de la semaine de travail de 40 heures'","no",NA,"Working hours","none","none","initiative","Initiative (Formulated Draft)","Working hours | none | none","45.15",1686050,21.96,"78.04","9","113",NA,"0","32",NA,"None",3772466,1703499,370228,1315822,NA,"22","none",NA,NA,0,NA,0
358,260,1976-09-26,"Federal decree on an article of the Federal Constitution concerning radio and television","Arrêté fédéral du 19.03.1976 complétant la constitution par un article sur la radiodiffusion et la télévision","no",NA,"Radio, television and electronic media","Fundamental rights","Freedom of the media","mandatory Referendum","Constitutional Referendum (Partialrevision)","Radio, television and electronic media | Fundamental rights | Freedom of the media","33.5",1227367,43.29,"56.71","115","3",NA,"36","0",NA,"None",3766161,1261980,531328,696039,"3.5","18.5","none",NA,NA,0,NA,0
359,261,1976-09-26,"Citizen's initiative ""Compulsory third-party insurance for motor vehicles and bicycles""","Initiative populaire en vue de l'introduction par la Confédération d'une assurance responsabilité civile pour les véhicules à moteurs et les cycles","no",NA,"Road transport","none","none","initiative","Initiative (Formulated Draft)","Road transport | none | none","33.54",1241300,24.3,"75.7","32","110",NA,"0","37",NA,"None",3766161,1263198,301587,939713,NA,"22","none",NA,NA,0,NA,0
360,258,1976-06-13,"Federal decree on an agreement between Switzerland and the International Development Agency on a loan of 200 million francs","Arrêté fédéral du 20.06.1975 concernant la conclusion d'un accord entre la Confédération suisse et l'Association internationale de développement (IDA) relatif à un prêt de 200 millions de francs","no",NA,"Development cooperation","none","none","facultative Referendum","Optional Treaty Referendum (for an unlimited period or duration >15 years)","Development cooperation | none | none","34.52",1264852,43.55,"56.45","127","6",NA,"34","0",NA,"None",3756474,1296862,550865,713987,NA,NA,"none",NA,NA,0,NA,0
361,259,1976-06-13,"Federal decree on a revision of unemployment insurance ","Arrêté fédéral du 11.03.1976 concernant une nouvelle conception de l'assurance-chômage","yes",NA,"Unemployment insurance","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Unemployment insurance | none | none","34.52",1268761,68.27,"31.73","127","0",NA,"32","0",NA,"None",3756474,1296974,866211,402550,"21","1","none",NA,NA,0,NA,0
362,257,1976-06-13,"Federal law on spatial planning","Loi fédérale du 04.10.1974 sur l'aménagement du territoire","no",NA,"Spatial planning","Protection of nature and cultural heritage","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Spatial planning | Protection of nature and cultural heritage | none","34.56",1280367,48.9,"51.1","122","20",NA,"20","0",NA,"None",3756474,1298665,626134,654233,NA,NA,"none",NA,NA,0,NA,0
363,256,1976-03-21,"Citizen's initiative ""Reform of taxes (fairer taxes and abolition of tax privileges)""","Initiative populaire fédérale en faveur d'une imposition plus équitable et de l'abolition des privilèges fiscaux","no",NA,"Tax policy","none","none","initiative","Initiative (General Suggestion)","Tax policy | none | none","39.31",1418883,42.22,"57.78","14","86",NA,"1","32",NA,"None",3750162,1474085,599053,819830,NA,NA,"none",NA,NA,0,NA,0
364,255,1976-03-21,"Counter proposal to the citizen's initiative ""For workers participation in decision-making""","Contre-projet à l'initiative populaire sur la participation des travailleurs [Adjonction à l'art. 34er]","no",NA,"Industrial relations","none","none","mandatory Referendum","Constitutional Referendum (Counter-draft)","Industrial relations | none | none","39.45",1457959,30.7,"69.3","75","72",NA,"16","6",NA,"None",3750162,1479405,431690,974695,NA,"22","linked","Citizen's initiative ""For workers' participation in decision-making""",51574,0,NA,0
365,255,1976-03-21,"Citizen's initiative ""For workers' participation in decision-making""","Arrêté fédéral du 04.10.1974 concernant l'initiative populaire sur la participation","no",NA,"Industrial relations","none","none","initiative","Initiative (Formulated Draft)","Industrial relations | none | none","39.45",1457959,32.82,"67.18","72","75",NA,"6","16",NA,"None",3750162,1479405,472094,966140,NA,"22","linked","Counter proposal to the citizen's initiative ""For workers participation in decision-making""",19725,0,NA,0
366,252,1975-12-07,"Federal decree on amendment of the Federal Constitution (freedom of settlement and social welfare assistance)","Arrêté fédéral du 13.12.1974 modifiant la constitution (liberté d'établissement et réglementation de l'assistance)","yes",NA,"Fundamental rights","Welfare","Division of tasks","mandatory Referendum","Constitutional Referendum (Partialrevision)","Fundamental rights | Welfare | Division of tasks","30.89",1113728,75.62,"24.38","148","0",NA,"32","0",NA,"None",3737823,1155136,842165,271563,"22",NA,"none",NA,NA,0,NA,0
367,253,1975-12-07,"Federal decree on amendment of the Federal Constitution (water resources)","Arrêté fédéral du 20.06.1975 concernant une revision de la constitution dans le domaine de l'économie des eaux","yes",NA,"Water pollution control","Hydro-electric power","Division of tasks","mandatory Referendum","Constitutional Referendum (Partialrevision)","Water pollution control | Hydro-electric power | Division of tasks","30.93",1107763,77.52,"22.48","152","0",NA,"33","0",NA,"None",3737823,1156219,858720,249043,"21","1","none",NA,NA,0,NA,0
368,254,1975-12-07,"Federal law on import and export of agricultural products","Loi fédérale du 13.12.1974 sur l'importation et l'exportation de produits agricoles transformés","yes",NA,"Customs","Agricultural policy","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Customs | Agricultural policy | none","31.22",1128637,52.02,"47.98","124","7",NA,"29","4",NA,"None",3737823,1161817,587148,541489,NA,NA,"none",NA,NA,0,NA,0
369,247,1975-06-08,"Federal decree on protection of the currency (amendment of 28 June 1974)","Arrêté fédéral sur la sauvegarde de la monnaie. Modification du 28.06.1974","yes",NA,"Monetary policy","none","none","mandatory Referendum","Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis)","Monetary policy | none | none","36.81",1348557,85.52,"14.48","139","0",NA,"32","0",NA,"None",3719992,1369819,1153338,195219,"22",NA,"none",NA,NA,0,NA,0
370,248,1975-06-08,"Federal decree on financing of national highways (amendment of 4 October 1974)","Arrêté fédéral concernant le financement des routes nationales. Modification du 04.10.1974","yes",NA,"Budget cuts and remediation measures","Road construction","none","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Budget cuts and remediation measures | Road construction | none","36.81",1349293,53.46,"46.54","134","17",NA,"26","1",NA,"None",3719992,1369318,721313,627980,NA,NA,"none",NA,NA,0,NA,0
371,249,1975-06-08,"Federal law on change of general customs duty","Loi fédérale du 04.10.1974 modifiant le tarif général des douanes","no",NA,"Budget cuts and remediation measures","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Budget cuts and remediation measures | none | none","36.79",1340939,48.23,"51.77","111","39",NA,"23","6",NA,"None",3719992,1368532,646687,694252,NA,NA,"none",NA,NA,0,NA,0
372,250,1975-06-08,"Federal decree on raising income from taxes from 1976","Arrêté fédéral du 31.01.1975 concernant l'augmentation des recettes fiscales dès 1976","yes",NA,"Budget cuts and remediation measures","Tax policy","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Budget cuts and remediation measures | Tax policy | none","36.81",1346683,55.96,"44.04","142","9",NA,"31","0",NA,"None",3719992,1369699,753642,593041,"17","5","none",NA,NA,0,NA,0
373,251,1975-06-08,"Federal decree on complication of decisions on expenditure ","Arrêté fédéral du 31.01.1975 freinant les décisions en matière de dépenses","yes",NA,"Public expenditure","Legislative procedure","Parliament","mandatory Referendum","Constitutional Referendum (Partialrevision)","Public expenditure | Legislative procedure | Parliament","36.81",1344826,75.94,"24.06","117","16",NA,"28","0",NA,"None",3719992,1369259,1021315,323511,"22",NA,"none",NA,NA,0,NA,0
374,246,1975-03-02,"Federal decree on article in the Constitution on the economy","Arrêté fédéral du 4 octobre 1974 concernant l'article de la constitution sur la politique conjoncturelle","no",NA,"Short-term economic policy","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Short-term economic policy | none | none","28.59",1028589,52.77,"47.23","133","16",NA,"24","3",NA,"None",3717238,1054929,542745,485844,"11","11","none",NA,NA,0,NA,0
375,245,1974-12-08,"Counter proposal to the citizen's initiative for better health insurance and a revision of the Constitution in regard to health insurance  accidents and maternity","Contre-projet à l'initiative populaire pour une meilleure assurance-maladie et la revision de la constitution en matière d'assurance- maladie  accidents et maternité","no",NA,"Health and accident insurance","none","none","mandatory Referendum","Constitutional Referendum (Counter-draft)","Health and accident insurance | none | none","39.72",1438337,34.15,"65.85","93","15",NA,"25","1",NA,"None",3706105,1472162,457923,883179,NA,"22","linked","Citizen's initiative for better health insurance and a revision of the Constitution in regard to health insurance  accidents and maternity",NA,0,NA,0
376,243,1974-12-08,"Federal decree on improvement to the federal economy","Arrêté fédéral du 04.10.1974 instituant des mesures propres à améliorer les finances fédérales","no",NA,"Tax policy","Budget cuts and remediation measures","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Tax policy | Budget cuts and remediation measures | none","39.58",1409674,44.39,"55.61","145","5",NA,"27","1",NA,"None",3706105,1466781,625780,783894,"4","18","none",NA,NA,0,NA,0
377,244,1974-12-08,"Federal decree on complication of expenditure decisions","Arrêté fédéral du 04.10.1974 freinant les décisions en matière de dépenses","yes",NA,"Public expenditure","Legislative procedure","Parliament","mandatory Referendum","Constitutional Referendum (Partialrevision)","Public expenditure | Legislative procedure | Parliament","39.54",1394869,67.01,"32.99","110","46",NA,"19","7",NA,"None",3706105,1465234,934633,460236,"22",NA,"none",NA,NA,0,NA,0
378,245,1974-12-08,"Citizen's initiative for better health insurance and a revision of the Constitution in regard to health insurance  accidents and maternity","Arrêté fédéral du 22.03.1974 concernant l'initiative populaire pour une meilleure assurance-maladie et le revision de la constitution en matière d'assurance-maladie  accidents et maternité","no",NA,"Health and accident insurance","none","none","initiative","Initiative (Formulated Draft)","Health and accident insurance | none | none","39.72",1438337,27.55,"72.45","15","93",NA,"1","25",NA,"None",3706105,1472162,384155,1010103,NA,"22","linked","Counter proposal to the citizen's initiative for better health insurance and a revision of the Constitution in regard to health insurance  accidents and maternity",NA,0,NA,0
379,242,1974-10-20,"Citizen's initiative ""Reduction in number of foreigners"" ","Initiative populaire contre l'emprise étrangère et le surpeuplement de la Suisse","no",NA,"Immigration policy","none","none","initiative","Initiative (Formulated Draft)","Immigration policy | none | none","70.33",2570523,34.19,"65.81","4","121",NA,"0","31",NA,"None",3702498,2604051,878891,1691632,NA,"22","none",NA,NA,0,NA,0
380,237,1973-12-02,"Federal decree on measures to monitor prices","Arrêté fédéral du 20.12.1972 sur la surveillance des prix  des salaires et des bénéfices","yes",NA,"Pricing policy","Employment policy","Short-term economic policy","mandatory Referendum","Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis)","Pricing policy | Employment policy | Short-term economic policy","35.02",1257016,59.76,"40.24","109","7",NA,"34","0",NA,"None",3665107,1283799,751173,505843,"20","2","none",NA,NA,0,NA,0
381,239,1973-12-02,"Federal decree on measures to stabilise the construction market","Arrêté fédéral du 20.12.1972 concernant la stabilisation du marché de la construction","yes",NA,"Short-term economic policy","Structural policy","none","mandatory Referendum","Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis)","Short-term economic policy | Structural policy | none","35",1252505,70.39,"29.61","127","5",NA,"34","0",NA,"None",3665107,1283243,881662,370843,"20","2","none",NA,NA,0,NA,0
382,238,1973-12-02,"Federal decree on measures in the banking sector (credit control)","Arrêté fédéral du 20.12.1972 instituant des mesures dans le domaine du crédit","yes",NA,"Short-term economic policy","Monetary policy","Banks, stock exchange, insurance","mandatory Referendum","Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis)","Short-term economic policy | Monetary policy | Banks, stock exchange, insurance","34.99",1244352,65.12,"34.88","133","1",NA,"35","0",NA,"None",3665107,1282565,810307,434045,"18.5","3.5","none",NA,NA,0,NA,0
383,240,1973-12-02,"Federal decree on limitation to tax depreciation on federal  cantonal and district income tax","Arrêté fédéral du 20.12.1972 limitant les amortissements admissibles pour les impôts sur le revenu perçus par la Confédération  les cantons et les communes","yes",NA,"Tax policy","Short-term economic policy","none","mandatory Referendum","Mandatory Legislative Referendum (Federal decrees declared urgent  without constitutional basis)","Tax policy | Short-term economic policy | none","34.95",1226748,68.05,"31.95","143","0",NA,"34","0",NA,"None",3665107,1280985,834792,391956,"19.5","2.5","none",NA,NA,0,NA,0
384,241,1973-12-02,"Federal decree on replacement of article 25 of the Federal Constitution by an article on animal protection","Arrêté fédéral du 27.06.1973 concernant un article sur la protection des animaux qui remplace l'article 25bis actuel de la constitution fédérale","yes",NA,"Animal protection","Livestock","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Animal protection | Livestock | none","34.99",1240594,83.95,"16.05","139","0",NA,"33","0",NA,"None",3665107,1282410,1041504,199090,"22",NA,"none",NA,NA,0,NA,0
385,236,1973-05-20,"Federal decree on repeal of articles 51 and 52 of the Constitution concerning Jesuits and monasteries","Arrêté fédéral du 06.10.1972 abrogeant les articles de la constitution fédérale sur les jésuites et les couvents (art. 51 et 52)","yes",NA,"Religion - churches","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Religion - churches | none | none","40.29",1440000,54.94,"45.06","143","4",NA,"25","0",NA,"None",3642756,1467494,791076,648924,"16.5","5.5","none",NA,NA,0,NA,0
386,234,1973-03-04,"Federal decree on amendment to the Federal Constitution on education","Arrêté fédéral du 06.10.1972 modifiant les articles de la constitution sur l'enseignement","no",NA,"Schools","Fundamental rights","Division of tasks","mandatory Referendum","Constitutional Referendum (Partialrevision)","Schools | Fundamental rights | Division of tasks","27.5",961842,52.75,"47.25","132","8",NA,"20","4",NA,"None",3633517,999302,507414,454428,"10.5","11.5","none",NA,NA,0,NA,0
387,235,1973-03-04,"Federal decree on a supplement to the Federal Constitution on support for scientific research","Arrêté fédéral du 06.10.1972 complétant la constitution par un article sur l'encouragement de la recherche scientifique","yes",NA,"Research","Universities","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Research | Universities | none","27.51",957485,64.51,"35.49","153","0",NA,"26","0",NA,"None",3633517,999497,617628,339857,"19","3","none",NA,NA,0,NA,0
388,232,1972-12-03,"Counter proposal to the citizen's initiative ""For a real old age and sickness pension"" (amendment to the Federal Constitution on disability  old age-  widows- and orphans insurance)","Contre-projet à l'initiative populaire ""Pour une véritable retraite populaire"" (La revision de la constitution en matière de prévoyance-vieillesse  survivants et invalidité [Modification de l'art. 34quater])","yes","yes","Pension insurance","Occupational benefits provision","none","mandatory Referendum","Constitutional Referendum (Counter-draft)","Pension insurance | Occupational benefits provision | none","52.93",1884775,76.93,"23.07","132","7",NA,"30","0",NA,"None",3628891,1921226,1393797,418018,"22",NA,"linked","Citizen's initiative for a real old age and sickness pension and amendment to the Federal Constitution on disability  old age-  widows- and orphans insurance",NA,0,NA,0
389,232,1972-12-03,"Citizen's initiative for a real old age and sickness pension and amendment to the Federal Constitution on disability  old age-  widows- and orphans insurance","Arrêté fédéral du 30.06.1972 concernant l'initiative populaire pour une véritable retraite populaire et la revision de la constitution en matière de prévoyance-vieillesse  survivants et invalidité","no",NA,"Pension insurance","Occupational benefits provision","none","initiative","Initiative (Formulated Draft)","Pension insurance | Occupational benefits provision | none","52.93",1884775,16.58,"83.42","7","132",NA,"0","30",NA,"None",3628891,1921226,294511,1481488,NA,"22","linked","Counter proposal to the citizen's initiative ""For a real old age and sickness pension"" (amendment to the Federal Constitution on disability  old age-  widows- and orphans insurance)",NA,0,NA,0
